,Unnamed: 0,id,title,release_date,revenue,runtime,adult,budget,overview,popularity,poster_path,genres,keywords,year,actors,emotions,director
7199,7199,61185,Diary of a Sex Addict,2001-11-23,0,93,False,0,A restaurant owner leads a double life.,12.573,/oOkQLPTp6EyvTfQ5OTCUqeQ90pZ.jpg,['Drama'],"infidelity, sex addiction, family relationships, neighbor, therapy, buxom, threesome, rough sex, interracial sex, employer employee sex, female psychologist, digital video",2001,"['Rosanna Arquette', 'Nastassja Kinski', 'Michael Des Barres', 'Eva Jeníčková', 'Cole Sprouse', 'Dylan Sprouse', 'Ed Begley Jr.', 'Alexandra Paul', 'A.J. Benza', 'Joey House', 'Anna de Cardi', 'Maria del Mar', 'Heidi Jo Markel', 'Jimmy Flynt', 'Adrienne Janic', 'Troy Winbush', 'T.C. Warner', 'Aviva Gale', 'M.C. Gainey', 'Tangie Ambrose', 'Simona Williams', 'Kevin Kirkpatrick', 'Rachelle Carson-Begley', 'Daniella Rich', 'Terri Apple', 'Shannan Leigh', 'Bobby C. King', 'Shirly Brener', 'Nancy Linehan Charles', 'Lisa Lord', 'Shea Curry']","['compulsion', 'despair', 'intimacy']",Nathan Hope
7200,7200,18741,Fearless Hyena 2,1983-03-04,0,92,False,0,"A pair of evil kung-fu artists, Heaven and Earth, are slaughtering the entire Yin-Yang brotherhood.",12.571,/6CEJxBEvGwAKdfsi3dpcGvWt0do.jpg,['Action'],,1983,"['Jackie Chan', 'Dean Shek Tin', 'Yen Shi-Kwan', 'Kwon Yeong-Moon', 'James Tien Chun', 'Chen Hui-Lou', 'Austin Wai Tin-Chi', 'Hon Kwok-Choi', 'Im Eun-Joo', 'Chang Chung-Kui', 'Cheng Ka-Sang', 'Chin Wan-Che', 'Chiu Lo-Kong', 'Chu Kong', 'Chui Fat', 'Ho Chi-Wai', 'Hsiao Min-Hsiung', 'Hu Han-Chang', 'Ma Chang', 'Mai Kei', 'Nam Wai', 'Pei De-Yun', 'Peng Gang', 'Shih Ting-Ken', 'Wang Chi-Sheng', 'Wang Yao', 'Wong Chi-Wai', 'Xie Jian-Wen', 'Clement Yeh Chao-Hsu']","['humor', 'action', 'revenge']",Chan Chuen
7201,7201,9367,El Mariachi,1992-09-04,2040920,81,False,7225,"El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor, a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake el Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.",12.568,/zRh7K4SV1xQ419m8gzGITak51vc.jpg,"['Action', 'Crime', 'Thriller']","mistaken identity, usa–mexico border, mariachi, concealed weapon",1992,"['Carlos Gallardo', 'Consuelo Gómez', 'Jaime de Hoyos', 'Peter Marquardt', 'Reinol Martinez', 'Ramiro Gómez', 'Jesús López', 'Luis Baró', 'Oscar Fabila', 'Poncho Ramon', 'Fernando Martinez', 'Manuel Acosta', 'Walter Vargas', 'Roberto Martinez', 'Virgen Delgado', 'Juanita Vargas', 'Yolanda Puga', 'Jaime Rodriguez', 'Luis Cadena', 'Afredo Martínez', 'Gerardo Jaquez', 'Mario Mata', 'Daniel Delgado', 'Rosendo Ortiz', 'Cesar Cadena', 'Jose Salinas', 'Robert Santoyo', 'Sabas Perez', 'Guadenico Martin', 'Juan Garcia', 'Maximo Martin', 'DiFonso Quezada', 'Manuel Vejor', 'Alfredo Cisneros', 'Alejandro Peña', 'Israel Reyes', 'Clara Scott', 'María Castillo', 'Samuel Quiroz', 'Roberto Delgado', 'Fermin Barron', 'Tito Tortuga']","['revenge', 'survival', 'determination']",Robert Rodriguez
7202,7202,20024,The End of the Affair,1999-12-03,10827816,102,False,23000000,"On a rainy London night in 1946, novelist Maurice Bendrix has a chance meeting with Henry Miles, husband of his ex-mistress Sarah, who abruptly ended their affair two years before. Bendrix's obsession with Sarah is rekindled; he succumbs to his own jealousy and arranges to have her followed.",12.567,/71Q21MoOjRwbyaFFP5TKltmiTf6.jpg,"['Romance', 'Drama']","infidelity, london, england, jealousy, bomb, obsession, world war ii, romance, church, london blitz, 1940s",1999,"['Ralph Fiennes', 'Julianne Moore', 'Stephen Rea', 'James Bolam', 'Ian Hart', 'Jason Isaacs', 'Deborah Findlay', 'Sam Bould', 'Cyril Shaps', 'Simon Turner', 'Heather-Jay Jones', 'Nicholas Hewetson', 'Jack McKenzie']","['forbidden love', 'jealousy', 'guilt']",Neil Jordan
7203,7203,17824,Private Resort,1985-05-03,331816,82,False,0,"Chasing women for the weekend at a luxurious Miami resort, teen buddies Ben and Jack get more than they bargained for after crossing paths with a crafty criminal.",12.567,/temhAEeniTralG3G9NyjPmTgzIe.jpg,['Comedy'],"champagne, wine, swimming pool, undressing, waiter, reading, hiccups, diamond necklace, voyeur",1985,"['Rob Morrow', 'Johnny Depp', 'Emily Longstreth', ""Karyn O'Bryan"", 'Héctor Elizondo', 'Dody Goodman', 'Tony Azito', 'Hilary Shepard', 'Leslie Easterbrook', 'Michael Bowen', 'Lisa London', 'Andrew Dice Clay', 'Ronald E. House', 'Christopher Wynne', 'Nora Gaye', 'Susan Mechsner', 'Matthew Levine', 'Lucy Lee Flippin', 'Phyllis Franklin', 'Jonathan Prince', 'Jeremy Lawrence', 'Vickie Benson', 'Nancy Raffa', 'Raymond Forchion']","['lust', 'comedy', 'youth']",Sam Pollard
7204,7204,27346,Maniac,1980-11-14,10000000,88,False,350000,"A psychotic man, troubled by his childhood abuse, loose in NYC, kills young women and local girl American models and takes their scalps as trophies. Will he find the perfect woman in photographer Anna, and end his killing spree.",12.566,/aKIBqbUZAEwOML4oMMjZS7m4Gvj.jpg,['Horror'],"mannequin, sadism, shotgun, murder of prostitute, gore, grindhouse, murder, park, scalping, model, rage, killer",1980,"['Joe Spinell', 'Caroline Munro', 'Abigail Clayton', 'Nelia Bacmeister', 'Denise Spagnuolo', 'Billy Spagnuolo', 'Kelly Piper', 'Sharon Mitchell', 'Rita Montone', 'Hyla Marrow', 'Tom Savini', 'Linda Lee Walter', 'James Brewster', 'Tracie Evans', 'Carol Henry', 'Louis Jawitz', 'Candace Clements', 'Diane Spagnuolo', 'Kim Hudson', 'Terry Gagnon', 'Joan Baldwin', 'Jeni Paz', 'Janelle Winston', 'Randy Jurgensen', 'Jimmy Aurichio', 'Frank Pesce', 'Andrew W. Garroni', 'Taso N. Stavrakis', 'William Lustig']","['horror', 'disturbance', 'madness']",William Lustig
7205,7205,421467,The Return of Godzilla,1984-12-15,11000000,103,False,6000000,"After a fishing boat is attacked, the sole surviving crew member realizes it is none other than a resurrected Godzilla. However, efforts to bring the story to light are suppressed by the Japanese government amid growing political tensions between the United States and the Soviet Union, who are both willing to bomb Japan to stop the monster.",12.562,/dP1ISBkknJ7eh01Co2Q58dxv6vu.jpg,"['Science Fiction', 'Action', 'Thriller']","brother, cold war, soviet union, giant monster, cover-up, reporter, pop music, parasite, creature feature, kaiju, political unrest, lice, godzilla",1984,"['Keiju Kobayashi', 'Ken Tanaka', 'Yasuko Sawaguchi', 'Shin Takuma', 'Yōsuke Natsuki', 'Eitarō Ozawa', 'Taketoshi Naitō', 'Nobuo Kaneko', 'Mizuho Suzuki', 'Junkichi Orimoto', 'Hiroshi Koizumi', 'Kunio Murai', 'Kei Satō', 'Shigeo Katō', 'Walter Nichols', 'Alexander Kilis', 'Takenori Emoto', 'Koji Ishizaka', 'Tetsuya Takeda', 'Joe Raznack', 'Joseph Grace', 'Kenpachirō Satsuma', 'Akira Toriyama', 'Yuji Horii', 'Akira Sakuma']","['fear', 'disaster', 'heroism']",Koji Hashimoto
7206,7206,10410,Hoffa,1992-12-25,0,140,False,35000000,"A portrait of union leader James R. Hoffa, as seen through the eyes of his friend, Bobby Ciaro. The film follows Hoffa through his countless battles with the RTA and President Roosevelt.",12.561,/aMGhaSkhkFwz33hKEsBrJ3ptx3g.jpg,"['Crime', 'History']","gangster, 1970s, trade union, disappearance, detroit, michigan, 1960s, jimmy hoffa",1992,"['Jack Nicholson', 'Danny DeVito', 'Armand Assante', 'J. T. Walsh', 'John C. Reilly', 'Natalija Nogulich', 'Kevin Crowley', 'Robert Prosky', 'Kevin Anderson', 'Frank Whaley', 'John Judd', 'John P. Ryan', 'Nicholas Pryor', 'Paul Guilfoyle', 'Karen Young', 'Cliff Gorman', 'Joanne Neer', 'Joe Greco', 'Jim Ochs', 'Joe Quasarano', 'Don Brockett', 'Nicholas Giordano', 'Dale Young', 'Jennifer Nicholson', 'Don Vargo', 'Anthony Cannata', 'Valentino Cimo', 'Willy Rizzo', 'Tom Finnegan', 'Kirk Anderson', 'Sam Nicotero', 'John Malloy', 'Louis Giambalvo', 'Robin Eurich', 'Robert Maffia', 'Gerry Becker', 'Shirley Prestia', 'John Hackett', 'Peter J. Reineman', 'Joey Dal Santo', 'Tomasino Baratta', 'Angela Block', 'Anna Marie Knierim', 'Staci Marie Marcum', 'Alton Bouchard', 'Dennis Tolkach', 'Jeff Howell', 'Fred Scialla', 'Christopher Otto', 'Annette DePetris', 'William Cameron', 'Rudy E. Morrison', 'Joanne Deak', 'Richard Schiff', 'Allison Robinson', 'Steve Witting', 'Kathy Jacobs', 'Philip Perlman', 'Sean P. Bello', 'Robert L. Feist', 'Peter Spellos', 'Steven E. Goldsmith', 'Marty Perlov', 'Tim Gamble', 'Thomas D. Mahard', 'Gary Houston', 'Dinah Lynch', 'Jillian Alyse Cardillo', 'Jacqulyne Marie Cardillo', 'Chet Badalato', 'David Regal', 'Paul M. White', ""James 'Ike' Eichling"", 'Dean Wells', 'Bill Dalzell', 'Samson Barkhordarian', 'Alex A. Kvassay', 'Larry John Meyers', ""John 'Cha Cha' Ciarcia"", 'Sherri Mazie', 'Dave Shemo', 'David Calvin Berg', 'David Sconduto', 'Lena Banks', 'Sam Bauso', 'Tim Burton', 'Thomas F. Evans', 'April Freeman', 'Steven Hauptman', 'John W. Iwanonkiw', 'Bruno Kirby', 'Tim Lovelace', 'Dave Petti', 'T.W. Reed', 'Timilee Romolini', 'Joe Shelby', 'Ursula Whittaker', 'Jon Favreau']","['power', 'loyalty', 'conflict']",Wilma Garscadden-Gahret
7207,7207,24920,City of the Living Dead,1980-08-11,0,93,False,0,"A psychic participates in a séance where she sees a vision of a Dunwich priest hanging himself in a church cemetery, causing her to die of fright. New York City reporter Peter Bell investigates the séance and learns that the priest's suicide has somehow opened a portal to Hell and must be sealed by All Saints Day, or else the dead will overtake humanity.",12.559,/8ymAiDW9ct2GSywWkqATEiKE8OB.jpg,['Horror'],"suicide, cemetery, supernatural, surrealism, psychic power, priest, zombie, demon, living dead",1980,"['Christopher George', 'Catriona MacColl', 'Carlo De Mejo', 'Giovanni Lombardo Radice', 'Janet Ågren', 'Antonella Interlenghi', 'Daniela Doria', 'Fabrizio Jovine', 'Luca Venantini', 'Michele Soavi', 'Venantino Venantini', 'Robert Sampson', 'Luciano Rossi', 'Aldo Massasso', 'James Sampson', 'Perry Pirkanen', 'Lucio Fulci', 'Michael Gaunt', ""Enzo D'Ausilio"", 'Adelaide Aste', 'Omero Capanna', 'Virginia Logan', 'Robert E. Warner', 'Nat Bush']","['terror', 'apocalypse', 'supernatural']",Lucio Fulci
7208,7208,13889,Madadayo,1993-04-17,0,134,False,0,"Based on the life of Hyakken Uchida, a Japanese author and academic. The film opens with Uchida resigning his job as a German professor at the onset of WWII. The story is told mostly in vignettes as he is cared for by former students in his old age.",12.559,/sxNSAUj0UyIFDccmysWfGOFCv3x.jpg,"['Drama', 'Comedy']","birthday party, tribute, teacher student relationship, post war japan, memories of teachers, lost cats",1993,"['Tatsuo Matsumura', 'Kyōko Kagawa', 'Hisashi Igawa', 'George Tokoro', 'Masayuki Yui', 'Akira Terao', 'Takeshi Kusaka', 'Asei Kobayashi', 'Hidetaka Yoshioka', 'Yoshitaka Zushi', 'Mitsuru Hirata', 'Noriko Honma', 'Shigeo Katō', 'Kōjirō Kusanagi', 'Utaroku Miyakoya', 'Kimihiro Reizei', 'Kinzō Sakura', 'Mieko Suzuki', 'Tetsuo Yamashita', 'Takao Zushi', 'Nobuto Okamoto', 'Tetsu Watanabe', 'Norio Matsui', 'Akihiko Sugizaki', 'Shû Nakajima', 'Ryûjirô Oki', 'Tetsuya Ito', 'Masuo Amada', 'Minoru Hirano', 'Kazuhiko Kasai', 'Eiji Bandō', 'Masahiko Tanimura', 'Tomoko Otakara', 'Toshihiko Nakano']","['warmth', 'nostalgia', 'farewell']",Akira Kurosawa
