,Unnamed: 0,id,title,release_date,revenue,runtime,adult,budget,overview,popularity,poster_path,genres,keywords,year,actors,emotions,director
7705,7705,34729,Our Lips Are Sealed,2000-05-18,0,89,False,0,"Mary-Kate and Ashley star in this Down Under adventure filled with nonstop Aussie intrigue, laughs and romance. After running afoul of a notorious gangster, Mary-Kate and Ashley take refuge in the FBI Witness Protection Program. Unfortunately, the girls are uncontrollable blabbermouths and they blow their cover in town after town until there's only one hiding place left - Australia.",11.417,/40gZ2WhqpZVv8woW0fCH8bMFzx8.jpg,"['Comedy', 'Family', 'Crime']","sydney, australia, high school, fbi, twin sister, witness protection, twins, american abroad, diamond theft, pimple, stolen jewel",2000,"['Mary-Kate Olsen', 'Ashley Olsen', 'Jim Meskimen', 'Tamara Clatterbuck', 'Robert Miano', 'Jason Clarke', 'Richard Carter', 'Willie Garson', 'Jo Phillips', 'Harold Hopkins', 'Ernie Hudson Jr.', 'Jade Bronneberg', 'Ryan Clark', 'Scott Swalwell', 'Nina Schultz', 'Chris Foy', 'Daniel Wakefield', 'Peter Callan', 'Chris Stapley', 'Katie Fountain', 'Garth Holcombe', 'Sebastian Di Modica']","['fun', 'youth', 'comedy']",Craig Shapiro
7706,7706,6346,The Chamber,1996-10-11,22540359,113,False,50000000,"Idealistic young attorney Adam Hall takes on the death row clemency case of his racist grandfather, Sam Cayhall, a former Ku Klux Klan member he has never met.",11.413,/dHwB9Fn2uBEkxkMZZxWpxMGrhL3.jpg,"['Crime', 'Drama']","ku klux klan, doomed man, legal drama",1996,"[""Chris O'Donnell"", 'Gene Hackman', 'Faye Dunaway', 'Robert Prosky', 'Lela Rochon', 'Bo Jackson', 'Millie Perkins', 'David Marshall Grant', 'Raymond J. Barry', 'Nicholas Pryor', 'Richard Bradford', 'Harve Presnell', 'Josef Sommer', 'Jane Kaczmarek', 'Seth Isler', 'Greg Wayne Elam', 'Greg Goossen']","['injustice', 'grief', 'tension']",James Foley
7707,7707,17421,G.I. Joe: The Movie,1987-08-01,0,93,False,0,G.I. Joe faces a new enemy as an ancient society of snake people known as Cobra-La try to forcefully take back the earth from those who drove them underground eons ago.,11.41,/iwrpVSvHKXVoqlYSTyz7Ty0IOyH.jpg,"['Animation', 'Action', 'Science Fiction', 'Family']","army, mutation, battle assignment, boot camp, based on toy",1987,"['Charlie Adler', 'Shuko Akune', 'Jack Angel', 'Michael Bell', 'Gregg Berger', 'Earl Boen', 'Arthur Burghardt', 'Corey Burton', 'William Callaway', 'François Chau', 'Peter Cullen', 'Brian Cummings', 'Jennifer Darling', 'Richard Gautier', 'Ed Gilbert', 'Dan Gilvezan', 'Laurie Faso', 'Don Johnson', 'Zack Hoffman', 'Kene Holliday', 'John Hostetter', 'Vernee Watson-Johnson', 'Buster Jones', 'Mary McDonald-Lewis', 'Morgan Lofting', 'Chuck McCann', 'Michael McConnohie', 'Burgess Meredith', 'Ron Ortiz', 'Rob Paulsen', 'Patrick Pinney', 'Poncie Ponce', 'Lisa Raggio', 'Bill Ratner', 'Neil Ross', 'Brad Sanders', 'Ted Schwartz', 'Robert Remus', 'Kristoffer Tabori', 'B.J. Ward', 'Lee Weaver', 'Frank Welker', 'Stan Wojno', 'Jackson Beck', 'Christopher Collins']","['heroism', 'action', 'teamwork']",
7708,7708,40490,Man of the House,1995-03-03,0,96,False,0,"Ben Archer is not happy. His mother, Sandy, has just met a man, and it looks like things are pretty serious. Driven by a fear of abandonment, Ben tries anything and everything to ruin the ""love bubble"" which surrounds his mom. However, after Ben and Jack's experiences in the Indian Guides, the two become much closer.",11.41,/6bnOhhrrrq6RZhMgz4aGyqbJ9Wf.jpg,"['Action', 'Comedy', 'Family']",,1995,"['Chevy Chase', 'Farrah Fawcett', 'Jonathan Taylor Thomas', 'George Wendt', 'David Shiner', 'Art LaFleur', 'Richard Portnow', 'Richard Foronjy', 'Peter Appel', 'Chief Leonard George', 'George Greif', 'Ron Canada', 'Christopher Miranda', 'Zachary Browne', 'Spencer Vrooman', 'Nicholas Garrett', 'Jimmy Baker', 'John DiSanti', 'Walter Marsh', 'Judith Maxie', 'Jim Smith', 'Sean Orr', 'Tony Sampson', 'Shane Meier', ""Ryan O'Neal""]","['protection', 'humor', 'teamwork']",
7709,7709,20712,Whore,1991-06-21,1008404,85,False,0,"This melodrama investigates the life of a sex worker, in a pseudo-documentary style.",11.409,/k2bDSZKq0eoplco3Yvj7fld8Gnu.jpg,['Drama'],"rape, sexual arousal, stockings, sex worker, mistreatment, sex work",1991,"['Theresa Russell', 'Benjamin Mouton', 'Antonio Fargas', 'Elizabeth Morehead', 'Daniel Quinn', 'Sanjay Chandani', 'Jason Saucier', 'Michael Crabtree', 'Jered Barclay', 'Doug MacHugh', 'Amanda Goodwin', 'Frank Smith', 'Jason Kristofer', ""Robert O'Reilly"", 'Ginger Lynn Allen', 'Charles Macaulay', 'Jack Nance', 'Tom Villard', 'John Carlyle', 'Scott David-King', 'Stephanie Blake', 'Alisa Christensen', 'John Diehl', 'Gail McMullen', 'Bob Prupas', 'Bobby Bruce', 'Danny Trejo', 'Daniel Beer', 'Barbara Eaton', 'Blanche Sindelar', 'B.J. Ward', 'Sean Fitzpatrick', 'Lee Arenberg', 'Scott Harte', 'Barbara Mallory', 'Joy Baggish', 'Ken Russell']","['realism', 'struggle', 'desperation']",Ken Russell
7710,7710,14900,The Great Muppet Caper,1981-06-26,31200000,95,False,14000000,"Kermit and Fozzie are newspaper reporters sent to London to interview Lady Holiday, a wealthy fashion designer whose priceless diamond necklace is stolen. Kermit meets and falls in love with her secretary, Miss Piggy. The jewel thieves strike again, and this time frame Miss Piggy. It's up to Kermit and Muppets to bring the real culprits to justice.",11.406,/qn6YXcrP8RuJChJr7sP8Ajp7jee.jpg,"['Family', 'Crime', 'Comedy', 'Mystery', 'Music']","puppetry, reporter, gonzo, fozzie bear, miss piggy, jewelry heist, marretas, kermit the frog",1981,"['Jim Henson', 'Frank Oz', 'Dave Goelz', 'Jerry Nelson', 'Richard Hunt', 'Steve Whitmire', 'Charles Grodin', 'Diana Rigg', 'John Cleese', 'Jack Warden', 'Robert Morley', 'Peter Ustinov', 'Caroll Spinney', 'Susan Backlinie', 'Joan Sanderson', 'Peter Falk', 'Danny John-Jules', 'Erica Creer', 'Kate Howard', 'Della Finch', 'Michael Robbins', 'Peter Hughes', 'Peggy Aitchison', 'Tommy Godfrey', 'Christine Nelson', 'Valli Kemp', 'Mike Quinn']","['humor', 'adventure', 'friendship']",Jim Henson
7711,7711,21874,Looker,1981-10-30,3282232,94,False,0,"Plastic surgeon Larry Roberts performs a series of minor alterations on a group of models who are seeking perfection. The operations are a resounding success. But when someone starts killing his beautiful patients, Dr. Roberts becomes suspicious and starts investigating. What he uncovers are the mysterious - and perhaps murderous - activities of a high-tech computer company called Digital Matrix.",11.405,/dQtdfoA0HKyI3YDHCngx6Rp8ePy.jpg,"['Science Fiction', 'Thriller']","model, plastic surgeon",1981,"['Albert Finney', 'James Coburn', 'Susan Dey', 'Leigh Taylor-Young', 'Dorian Harewood', 'Tim Rossovich', 'Darryl Hickman', 'Kathryn Witt', 'Terri Welles', 'Michael Hawkins', 'Ashley Cox', 'Donna Kei Benz', 'Catherine Parks', 'Terry Kiser', 'Jeana Keough', 'Eloise Hardt', 'Melissa Prophet', 'Lori Sutton', 'Vanna White', 'Pamela Jean Bryant', 'Anita Merritt', 'Randi Brooks', 'Estelle Omens', 'Tawny Moyer', 'Scott Mulhern', 'Irena Ferris', 'Randall England', 'Allison Balson', 'Katherine De Hetre', 'Dick Christie', 'Steve Strong', 'Joseph G. Medalis', 'Jesse Logan', 'Jerry Douglas', 'Kim Johnson']","['paranoia', 'sci-fi', 'control']",
7712,7712,26255,Love Potion No. 9,1992-11-13,754935,97,False,0,"Unlucky in love, chemist Paul Matthews visits gypsy Madame Rosa for help. Quickly realizing he is a hopeless nerd, she gifts him with Love Potion No. 8, which makes anyone who wears it irresistible to the opposite sex for four hours. Paul and animal psychologist coworker Diane Farrow decide to test it on themselves. The awkward pair suddenly find themselves alluring to anyone they approach, but soon realize they are most attracted to each other.",11.402,/n0DYahGGueR96mhajPGGgZpFL4k.jpg,"['Comedy', 'Romance', 'Fantasy', 'Science Fiction']","new love, magic, affection, witchcraft",1992,"['Sandra Bullock', 'Tate Donovan', 'Anne Bancroft', 'Blake Clark', 'Rebecca Staab', 'Mary Mara', 'Dale Midkiff', 'Hillary B. Smith', 'Dylan Baker', 'Bruce McCarty', 'Adrian Paul', 'Ric Reitz', 'Steven Burnett', 'Jordan Baker', 'Ken Strong', 'Gary Watkins', 'Libby Whittemore', 'Marc Gowan', 'Esther Huston', 'Lisa Guerrero', 'Jennifer Hale', 'David Dwyer', 'Edith Ivey', 'Andra Millian', 'Petra Verkaik']","['love', 'comedy', 'awkwardness']",
7713,7713,62131,Link,1986-02-26,1720450,103,False,0,"Young graduate student Jane Chase becomes the new assistant to an eccentric zoology professor at the remote home he shares with two brilliant chimpanzees and an elderly orangutan butler named Link. But when one of the chimps is found dead and the professor mysteriously disappears, Link becomes dangerously aggressive towards Jane. Now, the time for “monkey business” is over and the true terror is about to begin.",11.4,/t5jQOHK9ZsxtDG8Pjah4j6ogFvP.jpg,"['Horror', 'Thriller']","scotland, assistant, explosion, orangutan, doberman, chimpanzee",1986,"['Elisabeth Shue', 'Terence Stamp', 'Steven Finch', 'Richard Garnett', ""David O'Hara"", 'Kevin Lloyd', 'Joe Belcher', 'Geoffrey Beevers', 'Caroline John', 'Daisy Ashford', 'Linus Roache']","['fear', 'suspense', 'animal horror']",Richard Franklin
7714,7714,49979,Fidelity,2000-04-05,0,166,False,0,"Clélia is a very attractive photographer starting a new job for a sensationalist newspaper. She soon becomes involved with three very different men: Cléve, a middle aged books editor, Nemo, a mysterious photographer and Rupert McRoi, the owner of the broadcasting and tabloid company where she works.",11.397,/rNqFhY9UihbNLJ9r6bwBBsA4PrO.jpg,['Drama'],"eroticism, marriage, scandal sheet",2000,"['Sophie Marceau', 'Guillaume Canet', 'Pascal Greggory', 'Michel Subor', 'Magali Noël', 'Marina Hands', 'Marc François', 'Édith Scob', 'Manuel Le Lièvre', 'Aurélien Recoing', 'Jean-Charles Dumay', 'Guy Tréjan', 'Edéa Darcque', 'Julie Brochen', 'Armande Altaï', 'Philippe Dormoy', 'Olivier Bony', 'William Mesguich', 'Cécile Richard', 'Bruno López', 'Isabelle Malin', 'Alain Guillo', 'Pascal Tokatlian', 'Xawery Żuławski']","['desire', 'conflict', 'loyalty']",Andrzej Żuławski
7715,7715,11867,Barb Wire,1996-05-02,3793614,98,False,0,"A sexy nightclub owner, Barb Wire moonlights as a mercenary in Steel Harbor, one of the last free zones in the now fascist United States. When scientist Cora Devonshire wanders into Barb's establishment, she gets roped into a top-secret government plot involving biological weapons. Soon Barb is reunited with her old flame Axel Hood, who is now Cora's husband and a guerrilla fighter, resulting in plenty of tense action.",11.396,/jW5TLptY7PL1Mllq1g1uMjwXLXT.jpg,"['Science Fiction', 'Action']","bounty hunter, civil war, based on comic, obesity, b movie, scientist bar, electrical torture, pretending to be a prostitute, pressure washer, 2010s, female bounty hunter, hilarious, dystopian future",1996,"['Pamela Anderson', 'Temuera Morrison', 'Victoria Rowell', 'Jack Noseworthy', 'Udo Kier', 'Steve Railsback', 'Xander Berkeley', 'John Paxton', 'Joey Sagal', 'Candace Kita', 'Ai Wan', 'Clint Howard', 'Jennifer Banko', 'Mark Collver', 'Nicholas Worth', 'Patti Tippo', 'Nils Allen Stewart', 'Tommy Lister Jr.', 'Andre Rosey Brown', 'Shelly Desai', 'Dominique Vandenberg', 'Tina Cote', 'Rene Stahl', 'Salvator Xuereb', 'Loren Rubin', 'Tony Bill', 'Mary Anna Reyes', 'Vanessa Lee Asher', 'Alex Bookston', 'Amir Aboulela', 'David Andriole', 'Gil Borgos', 'Ron Balicki', 'Vinnie Curto', 'Jack Wright']","['action', 'independence', 'dystopia']",David Hogan
7716,7716,32274,Cradle Will Rock,1999-12-10,0,132,False,0,"A true story of politics and art in the 1930s USA, centered around a leftist musical drama and attempts to stop its production.",11.387,/d8LJWY8kaAIlfMiQLOGglL8VqVT.jpg,['Drama'],"new york city, ventriloquist, 1930s",1999,"['Hank Azaria', 'Rubén Blades', 'Joan Cusack', 'John Cusack', 'Cary Elwes', 'Philip Baker Hall', 'Cherry Jones', 'Angus Macfadyen', 'Bill Murray', 'Vanessa Redgrave', 'Susan Sarandon', 'Jamey Sheridan', 'John Turturro', 'Emily Watson', 'Bob Balaban', 'Jack Black', 'Kyle Gass', 'Paul Giamatti', 'Barnard Hughes', 'Barbara Sukowa', 'Victoria Clark', 'Erin Hill', 'Daniel H. Jenkins', 'Timothy Jerome', 'Chris McKinney', 'Henry Stram', 'Adele Robbins', 'Lee Arenberg', 'Allan F. Nicholls', 'Rob Carlson', 'Alison Tatlock', 'Dina Platias', 'Pamela D. Henry', 'Emma Smith Stevens', 'Steven Tyler', 'Charles Giordano', 'Jeffrey Kievit', 'Kenneth Finn', 'Kenneth Hitchcock', ""David D'Angelo"", 'Dave Ratajczak', 'Stephen Spinella', 'Brenda Pressley', 'Brian Brophy', 'David Costabile', 'Marla Schaffel', 'Dominic Cortese', 'John Carpenter', 'Gretchen Mol', 'Gil Robbins', 'Harris Yulin', 'Ned Bellamy', 'Vincent Foster', 'William Duell', 'Albert Macklin', 'Scott Sowers', 'Bobby Amore', 'Lynn Cohen', 'Dominic Chianese', 'Peter Jacobson', 'Evan Katz', 'Alysia Zucker', 'Sarah Hyland', 'Stephanie Roth Haberle', 'Spanky McHugh', 'Todd Stockman', 'Patrick Husted', 'Jay Green', 'Carolyn West', 'Steven Skybell', 'Susan Heimbeinder', 'Audra McDonald', 'Robert Ari', 'Michele Pawk', 'Gregg Edelman', 'Brian Powell', 'Jack Willis', 'Gilbert Cruz', 'Robert Hirschfeld', 'P.J. Brown', 'Michael Rivkin', 'Keira Naughton', 'Taylor Stanley', 'Tommy Allen', 'Jeff Butcher', 'Sandy Hamilton', 'Corina Katt Ayala', 'Josie Whittlesey', 'Sandra Lindquist', 'Tamika Lamison', 'Edward James Hyland', 'Boris McGiver', 'Chris Bauer', 'Leonardo Cimino', 'Patti Tippo', 'Carrie Preston', 'Mary Robbins', 'Chris Talbott', 'Susan Bruce', 'Ian Bagg', 'Tony Amendola', 'Tim Robbins', 'Matthew Bennett']","['art', 'resistance', 'politics']",
7717,7717,342677,Lusty Discipline in Uniform,1982-11-15,0,62,False,0,University lecturer Yoshimatsu lusts after Mikiko. He attempts to get closer to her by seducing Mikiko's mother.,11.386,/7JqwkwrhuVgh0PP9TlcQ1uNVu0C.jpg,"['Drama', 'Crime']","obsession, stalker, stalking, softcore, pink film",1982,"['Kazumi Kawai', 'Kayoko Sugi', 'Tamami Kyô', 'Shirō Shimomoto']","['lust', 'authority', 'taboo']",Mamoru Watanabe
7719,7719,200995,Plum Blossom,2000-10-14,0,118,False,0,"High school senior, Jayo is seduced into his first sexual experience by classmate Hara, who eventually kills herself when he ignores her. Since then, he immerses himself in loveless sex until he meets cheerful nurse, Namok. Meanwhile, his pal Seuin has developed a crush on his teacher, which is socially taboo.",11.384,/oG1jILiTUZbsTYPKd88KO5iL2eO.jpg,"['Romance', 'Drama']",,2000,"['Kim Rae-won', 'Kim Jeong-hyeon', 'Jin Hee-kyung', 'Bae Doona', 'Yoon Ji-hye']","['coming of age', 'desire', 'melancholy']",Kwak Ji-kyoon
7720,7720,25355,Irma Vep,1996-11-13,0,99,False,0,"Hong Kong action diva Maggie Cheung (playing herself) comes to France when a past-his-prime director casts her in a remake of the silent classic Les Vampires. Clad in a rubber catsuit and unable to speak a word of French, Cheung finds herself adrift in the insanity of the film industry…",11.383,/9Z84G7mn8eS7WxiHr5CrXRrneaF.jpg,"['Comedy', 'Drama']",,1996,"['Maggie Cheung', 'Jean-Pierre Léaud', 'Nathalie Richard', 'Antoine Basler', 'Nathalie Boutefeu', 'Alex Descas', 'Dominique Faysse', 'Arsinée Khanjian', 'Bernard Nissile', 'Olivier Torres', 'Bulle Ogier', 'Lou Castel', 'Jacques Fieschi', 'Estelle Larrivaz', 'Balthazar Clémenti', 'Lara Cowez', 'Dominique Cuny', 'Jessica Doyle', 'Sandra Faure', 'Catherine Ferny', 'Maryel Ferraud', 'Filip Forgeau', 'Nicolas Giraudi', 'Valerie Guy', 'Laurent Jacquet', 'Philippe Landoulsi', 'Smaïl Mekki', 'Maurice Najman', 'Yann Richard', 'Jérôme Simonin', 'Alexandra Yonnet', 'Pierre Amzallag', 'Françoise Clavel', 'Françoise Guglielmi', 'Odile Horion', 'François-Renaud Labarthe', 'Alain Martin', 'Guy-Patrick Sainderichin', 'Willy Martin']","['alienation', 'cinema', 'chaos']",Olivier Assayas
7721,7721,28762,Waxwork II: Lost in Time,1992-05-11,0,104,False,3500000,The survivors of the first Waxwork must use a portal through time to defeat the evil that has followed them and turned their lives upside down.,11.38,/dT2V9pZNVGOpzH17LJKg62wl3Pc.jpg,"['Horror', 'Fantasy', 'Comedy']","spacecraft, vampire, mutant, haunted house, possession, time travel, jack the ripper, mythical creature, sequel, murder, decapitation, wax museum, zombie, robot, killer, super power, hunchback, satanic ritual, ghost, jester",1992,"['Zach Galligan', 'Monika Schnarre', 'Martin Kemp', 'Bruce Campbell', 'Michael Des Barres', 'Jim Metzler', 'Sophie Ward', 'Marina Sirtis', 'Juliet Mills', 'John Ireland', 'Patrick Macnee', 'David Carradine', 'Alexander Godunov', 'George Buck Flower', 'James D.R. Hickox', 'Stanley Sheff', ""John O'Leary"", 'Maxwell Caulfield', 'Shanna Lynn', 'Anthony Hickox', 'Harrison Young', 'Frank Zagarino', 'Gerry Lively', 'Drew Barrymore', 'Marie Foti', 'Kate Murtagh', 'Athena Massey', 'Laurie Rose', 'Stefanos Miltsakakis']","['fantasy', 'humor', 'adventure']",Anthony Hickox
