,Unnamed: 0,id,title,release_date,revenue,runtime,adult,budget,overview,popularity,poster_path,genres,keywords,year,actors,emotions,director
5487,5487,1574,Chicago,2002-12-10,306776732,113,False,45000000,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,16.268,/v1Sg3GuHDz9uhrKqYozOeCMLSpj.jpg,"['Comedy', 'Crime', 'Drama']","chicago, illinois, musical, based on play or musical, jail, lawyer, prison matron, jazz age, 1920s",2002,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Queen Latifah', 'Ekaterina Chtchelkanova', 'John C. Reilly', 'Christine Baranski', 'Lucy Liu', 'Taye Diggs', 'Colm Feore', 'Dominic West', 'Mya', 'Deidre Goodwin', 'Denise Faye', 'Susan Misner', 'Cliff Saunders', 'Jayne Eastwood', 'Bruce Beaton', 'Roman Podhora', 'Rob Smith', 'Sean Wayne Doyle', 'Steve Behal', 'Robbie Rox', 'Chita Rivera', 'Joey Pizzi', 'Scott Wise', 'Ken Ard', 'Marc Calamia', 'Niki Wray', 'Gregory Mitchell', 'Sebastian La Cause', 'Brendan Wall', 'Cleve Asbury', 'Rick Negron', 'Shaun Amyot', 'Eve Crawford', 'Bill Corsair', 'Bill Britt', 'Gerry Fiorini', 'Elizabeth Law', 'Joseph Scoren', 'Monique Ganderton', 'April Morgan', 'Marty Moreau', 'Conrad Dunn', 'Jonathan Whittaker', 'Rod Campbell', 'Brett Caruso', 'Sean McCann', 'Jeff Clarke', 'Patrick Salvagna', 'Kathryn Zenna', 'Jeff Pustil', 'Roxane Barlow', 'Jocelyn Dowling', 'Melanie A. Gage', 'Michelle Johnston', 'Charley King', 'Mary Ann Lamb', 'Vicky Lambert', 'Tara Nicole Hughes', 'Cynthia Onrubia', 'Karine Plantadit', 'Jennifer Savelli', 'Natalie Willes', 'Karen Andrew', 'Kelsey Chace', 'Catherine Chiarelli', 'Theresa Coombe', 'Lisa Ferguson', 'Melissa Flerangile', 'Michelle Galati', 'Sheri Godfrey', 'Brittany Gray', 'Karen Holness', 'Amber-Kelly Mackereth', 'Jodi McFadden', 'Faye Rauw', 'Rhonda Roberts', 'Leigh Torlage', 'Robyn Wong', 'Ted Banfalvi', 'Harrison Beal', 'Paul Becker', 'Jean-Luc Côté', 'Scott Fowler', 'Edgar Godineaux', 'Bill Hartung', 'Darren Lee', 'Troy P. Liddell', 'Blake McGrath', 'Robert Montano', 'Sean Palmer', 'Desmond Richardson', 'Martin Samuel', 'Jason Sermonia', 'Jeff Siebert', 'Sergio Trujillo', 'Stacy Clark Baisley', 'Megan Fehlberg', 'Rachel Jacobs', 'Rebecca Leonard', 'Erin Michie', 'Danielle Rueda-Watts', 'Dana Calitri', 'Kate Coffman-Lloyd', 'Curtis King Jr.', 'Laura Dean', 'Margaret Dorn', 'Capathia Jenkins', 'Audrey Martells', 'Sara Ramirez', 'Nicki Richards', 'Dennis Collins', 'Darius De Haas', 'Willie Falk', 'Timothy Shew', 'Alfonzo Thornton', 'Eric Troyer']","['musical', 'crime', 'drama']",Rob Marshall
5488,5488,17993,Henry & June,1990-09-28,11567449,136,False,0,"While traveling in Paris, author Henry Miller and his wife, June, meet Anais Nin, and sexual sparks fly as Nin starts an affair with the openly bisexual June. When June is forced to return to the U.S., she gives Nin her blessing to sleep with her husband. Then, when June returns to France, an unexpected, and sometimes contentious, threesome forms.",16.268,/cDMQLwT5LpdbA4dc4Twn43sbGRw.jpg,['Romance'],"paris, france, writer, polyamory, bohemian, 1930s",1990,"['Fred Ward', 'Uma Thurman', 'Maria de Medeiros', 'Kevin Spacey', 'Bruce Myers', 'Juan Luis Buñuel', 'Féodor Atkine', 'Sylvie Huguel', 'Artus de Penguern', 'Richard E. Grant', 'Gary Oldman', 'Brigitte Lahaie', 'Jean-Philippe Écoffey', 'Erika Maury-Lascoux', 'Maïté Maillé', 'Annie Fratellini', 'Annie Vincent', 'Jean-Marc Cozic']","['erotic', 'biographical', 'romantic']",
5489,5489,28032,Thumbelina,1994-03-29,11373501,86,False,28000000,The tiny girl meets a fairy prince who saves her from the creatures of the woods.,16.267,/eBvSSfwAKgcjF4eyaeNSzTCpfaF.jpg,"['Animation', 'Family', 'Fantasy', 'Romance', 'Music']","witch, france, widow, feminism, fairy, musical, mole, miniature people, toad, wanting a baby, based on fairy tale, spinster, nightclub performer, forced marriage, beetle, talking animal, singing family, family band",1994,"['Jodi Benson', 'Gino Conforti', 'Barbara Cook', 'Will Ryan', 'June Foray', 'Kenneth Mars', 'Gary Imhoff', 'Joe Lynch', 'Charo', 'Danny Mann', 'Loren Lester', 'Kendall Cunningham', 'Tawny Sunshine Glover', 'Michael Nunes', 'Gilbert Gottfried', 'Pat Musick', 'Neil Ross', 'Carol Channing', 'John Hurt', 'Tony Jay', 'Randy Crenshaw', 'Stevie Vallance']","['animation', 'fantasy', 'romantic']",Don Bluth
5490,5490,128748,Curse of the Blair Witch,1999-07-11,0,44,False,0,"Mockumentary about the Blair Witch legend and the three filmmakers who disappeared in October of 1999. It first aired on the Sci-Fi Channel on July 11, 1999 as a promotional prelude to the release of The Blair Witch Project on July 30, 1999.",16.265,/e7AvQaI3k60HGGEso1t3KNjTuDW.jpg,"['Horror', 'Thriller']","mockumentary, fake documentary, found footage, pseudo-documentary",1999,"['Frank Pastor', 'Rachel Braaten', 'Randy Campbell', 'Dottie Corrigan', 'Bill Dreggors', 'Charlie Carlson', 'Michael Hoover', 'David Jones', 'Lisa Heesch', 'Joe Nagy', 'Tom Williams', 'Elaine Stebbins', 'Rei Hance', 'Joshua Leonard', 'Michael C. Williams']","['horror', 'mockumentary', 'supernatural']",Eduardo Sánchez
5491,5491,1946,eXistenZ,1999-04-14,2856712,97,False,15000000,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,16.265,/kETKF0JhdTPn1knci8CAdYL0d79.jpg,"['Action', 'Thriller', 'Science Fiction']","hacker, video game, virtual reality, pop star, bodyguard, dystopia, virtual fight, near future",1999,"['Jennifer Jason Leigh', 'Jude Law', 'Ian Holm', 'Willem Dafoe', 'Don McKellar', 'Callum Keith Rennie', 'Christopher Eccleston', 'Sarah Polley', 'Robert A. Silverman', 'Kris Lemche', 'Oscar Hsu', 'Vik Sahay', 'Kirsten Johnson', 'James Kirchner', 'Balázs Koós', 'Stephanie Belding', 'Gerry Quigley']","['sci-fi', 'thriller', 'virtual reality']",David Cronenberg
5492,5492,13706,Winnie the Pooh: A Very Merry Pooh Year,2002-11-12,0,65,False,0,It's Christmastime in the Hundred Acre Wood and all of the gang is getting ready with presents and decorations. The gang makes a list of what they want for Christmas and send it to Santa Claus - except that Pooh forgot to ask for something. So he heads out to retrieve the letter and get it to Santa by Christmas...which happens to be tomorrow!,16.261,/1Xfh2PPZsjEwFyLqp6bisrbdxZs.jpg,"['Animation', 'Family']","tiger, rabbit, christmas",2002,"['Jim Cummings', 'Peter Cullen', 'John Fiedler', 'Ken Sansom', 'Kath Soucie', 'William Green', 'Nikita Hopkins', 'Michael York', 'Paul Winchell', 'Michael Gough']","['animation', 'festive', 'family']",Ed Wexler
5493,5493,16136,Juice,1992-01-17,20146880,96,False,5000000,"Four Harlem friends -- Bishop, Q, Steel and Raheem -- dabble in petty crime, but they decide to go big by knocking off a convenience store. Bishop, the magnetic leader of the group, has the gun. But Q has different aspirations. He wants to be a DJ and happens to have a gig the night of the robbery. Unfortunately for him, Bishop isn't willing to take no for answer in a game where everything's for keeps.",16.257,/fLOB1MdIf2jWexxOzq441lNTIpW.jpg,"['Crime', 'Drama', 'Thriller']","rap music, hip-hop, street gang, black people",1992,"['Omar Epps', 'Tupac Shakur', 'Khalil Kain', 'Jermaine Hopkins', 'Cindy Herron', 'Samuel L. Jackson', 'Queen Latifah', 'Vincent Laresca', 'Michael Badalucco', 'Donald Faison', 'Maggie Rush', 'Bruklin Harris', 'Bokeem Woodbine', 'Grace Garland', ""John P. 'Jack' McLaughlin"", 'Norman Douglass', 'John Di Benedetto', 'George O. Gore II', 'Victor Campos', 'Eric Payne', 'Sharon Cook', 'Darien Berry', 'Flex Alexander', 'Rony Clanton', 'Jacqui Dickerson', 'Pablo Guzman', 'LaTanya Richardson Jackson', 'Randy Frazier', 'Oran ""Juice"" Jones', 'Mitch Marchand', 'Corwin Moore', 'Lauren Jones', 'Birdie M. Hale', 'L.B. Williams', 'Eddie Joe', 'Christopher Rubin', 'Ed Lover', 'Doctor Dré', 'Fab 5 Freddy', 'Erick Sermon', 'Parrish ""PMD"" Smith', 'Juanita Troy-Keitt', 'Treach', 'Moses Edinborough', 'Ed ""Special Ed"" Archer', 'Stretch', 'T-Money', 'Millicent Terraine', 'George Letrell', 'Al Shaw Ki Moore', 'Kool DJ Red Alert']","['crime', 'drama', 'urban']",Ernest R. Dickerson
5494,5494,10833,Heartbreakers,2001-03-23,57756408,123,False,35000000,"Max and Page are a brilliant mother/daughter con team who have their grift down to a fine science. Max targets wealthy, willing men and marries them. Page then seduces them, and Max catches her husband in the act. Then it's off to palimony city and the next easy mark.",16.251,/bwvec0gRMSpLakcPuxe0RWScNv3.jpg,"['Comedy', 'Romance', 'Crime']",cons and scams,2001,"['Sigourney Weaver', 'Jennifer Love Hewitt', 'Jason Lee', 'Gene Hackman', 'Ray Liotta', 'Anne Bancroft', 'Stacey Travis', 'Jeffrey Jones', 'Nora Dunn', 'Sarah Silverman', 'Zach Galifianakis', 'Michael Hitchcock', 'Carrie Fisher', 'Kevin Nealon', 'Denalda Williams', 'Bernadette Birkett', 'Scott Wordham', 'Ricky Jay', 'Julio Oscar Mechoso', 'Pierre Gonneau', 'Shawn Colvin', 'T.J. Thyne', 'Patricia Belcher']","['comedy', 'romantic', 'con artists']",Sharron Reynolds-Enriquez
5495,5495,3489,88 Minutes,2007-02-14,32593385,108,False,30000000,"A college professor who moonlights as a forensic psychiatrist for the FBI, receives a death threat claiming he has only 88 minutes to live.",16.249,/8rMiBz8kLMNmQyMbQXL9MPIlyw.jpg,"['Crime', 'Mystery', 'Thriller']","court case, fbi, paranoia, seattle, washington, manipulation, murder, serial killer, forensic psychiatrist, rape and murder, series of murders, timer, death of sister, murder investigation, death threat, college professor, copycat killer, suspiciousness, sadistic killer, twists, college campus, college students, death row inmate",2007,"['Al Pacino', 'Alicia Witt', 'Leelee Sobieski', 'Amy Brenneman', 'William Forsythe', 'Deborah Kara Unger', 'Ben McKenzie', 'Neal McDonough', 'Leah Cairns', 'Stephen Moyer', 'Christopher Redman', 'Brendan Fletcher', 'Paul Campbell', 'Tim Perez', 'Bob Stephenson', 'Mike Dopud', 'Philip Moon', 'Marcus Hondro', 'Michael Eklund', 'Trilby Glover', 'Damien Leake', 'Kristina Copeland', 'Tammy Hui', 'Vicky Huang', 'Victoria Tennant', 'Michal Yannai', 'Brenda McDonald', 'Carrie Genzel', 'Kaj-Erik Eriksen', 'Heather Dawn', 'Julian Christopher', 'Tim Henry', 'Brad Turner', 'Michael Adamthwaite', 'Jean Montanti']","['thriller', 'crime', 'suspense']",Josy Capkun
5496,5496,1913,The Sea Inside,2004-09-03,38535221,125,False,12806000,"The Sea Inside is about Spaniard Ramón Sampedro, who fought a 30-year campaign to win the right to end his life with dignity. It is the story of Ramón’s relationships with two women: Julia a lawyer who supports his cause, and Rosa, a local woman who wants to convince him that life is worth living.",16.237,/mQW1JJKCUg02cmWBzr9JFu9vM1V.jpg,['Drama'],"dying and death, sibling relationship, intensive care, paraplegic, freedom, ladykiller, wheelchair, biography, galicia, spain, bathing accident, romance, foreign language, lawyer, sailor, euthanasia, dignity",2004,"['Javier Bardem', 'Belén Rueda', 'Lola Dueñas', 'Joan Dalmau', 'Josep Maria Pou', 'Mabel Rivera', 'Celso Bugallo', 'Clara Segura', 'Alberto Jiménez', 'Tamar Novas', 'Alberto Amarilla', 'Francesc Garrido', 'Andrea Occhipinti', 'Federico Pérez Rey', 'Nicolás Fernández Luna', 'Xosé Manuel Olveira', 'César Cambeiro', 'Xosé Manuel Esperante', 'Adolfo Obregón', 'Julio Jordán', 'Marta Larralde', 'Jordi Ballester', 'José Luis Rodríguez']","['biographical', 'emotional', 'right-to-die']",Walter Prieto
